Date_Time,Region,PM1,PM2_5,PM10
2019-01-02 05:06,PMS70035,170,284,312
2019-01-02 05:07,PMS70035,168,276,309
2019-01-02 05:08,PMS70035,175,283,314
2019-01-02 05:09,PMS70035,168,280,305
2019-01-02 05:10,PMS70035,169,283,316
2019-01-02 05:11,PMS70035,165,269,300
2019-01-02 05:12,PMS70035,165,275,319
2019-01-02 05:13,PMS70035,159,263,289
2019-01-02 05:14,PMS70035,163,265,291
2019-01-02 05:15,PMS70035,170,282,317
2019-01-02 05:16,PMS70035,164,277,309
2019-01-02 05:17,PMS70035,160,264,296
2019-01-02 05:18,PMS70035,157,262,295
2019-01-02 05:19,PMS70035,162,267,292
2019-01-02 05:20,PMS70035,156,256,276
2019-01-02 05:21,PMS70035,153,246,272
2019-01-02 05:22,PMS70035,161,266,298
2019-01-02 05:23,PMS70035,163,260,289
2019-01-02 05:24,PMS70035,157,261,293
2019-01-02 05:25,PMS70035,161,259,279
2019-01-02 05:26,PMS70035,168,270,305
2019-01-02 05:27,PMS70035,170,287,320
2019-01-02 05:28,PMS70035,169,283,308
2019-01-02 05:29,PMS70035,165,283,317
2019-01-02 05:30,PMS70035,169,288,315
2019-01-02 05:31,PMS70035,178,289,317
2019-01-02 05:32,PMS70035,166,283,314
2019-01-02 05:33,PMS70035,173,293,319
2019-01-02 05:34,PMS70035,164,270,305
2019-01-02 05:35,PMS70035,167,270,301
2019-01-02 05:36,PMS70035,153,252,287
2019-01-02 05:37,PMS70035,156,263,294
2019-01-02 05:38,PMS70035,163,271,298
2019-01-02 05:39,PMS70035,159,262,291
2019-01-02 05:40,PMS70035,164,275,299
2019-01-02 05:41,PMS70035,166,277,300
2019-01-02 05:42,PMS70035,169,282,312
2019-01-02 05:43,PMS70035,171,286,315
2019-01-02 05:44,PMS70035,173,287,324
2019-01-02 05:45,PMS70035,172,288,322
2019-01-02 05:46,PMS70035,162,269,298
2019-01-02 05:47,PMS70035,159,262,288
2019-01-02 05:48,PMS70035,163,272,297
2019-01-02 05:49,PMS70035,162,273,313
2019-01-02 05:50,PMS70035,164,267,299
2019-01-02 05:51,PMS70035,161,269,299
2019-01-02 05:52,PMS70035,158,267,297
2019-01-02 05:53,PMS70035,159,258,296
2019-01-02 05:54,PMS70035,160,271,303
2019-01-02 05:55,PMS70035,159,268,299
2019-01-02 05:56,PMS70035,162,256,283
2019-01-02 05:57,PMS70035,161,265,288
2019-01-02 05:58,PMS70035,155,256,280
2019-01-02 05:59,PMS70035,152,254,278
2019-01-02 06:00,PMS70035,151,243,277
2019-01-02 06:01,PMS70035,153,243,272
2019-01-02 06:02,PMS70035,154,255,285
2019-01-02 06:03,PMS70035,159,260,292
2019-01-02 06:04,PMS70035,160,262,292
2019-01-02 06:05,PMS70035,151,246,283
2019-01-02 06:06,PMS70035,152,239,268
2019-01-02 06:07,PMS70035,156,249,279
2019-01-02 06:08,PMS70035,157,257,283
2019-01-02 06:09,PMS70035,165,265,296
2019-01-02 06:10,PMS70035,165,272,315
2019-01-02 06:11,PMS70035,161,263,290
2019-01-02 06:12,PMS70035,163,276,303
2019-01-02 06:13,PMS70035,160,264,297
2019-01-02 06:14,PMS70035,163,273,309
2019-01-02 06:15,PMS70035,164,281,314
2019-01-02 06:16,PMS70035,169,275,302
2019-01-02 06:17,PMS70035,163,267,294
2019-01-02 06:18,PMS70035,172,285,318
2019-01-02 06:19,PMS70035,163,267,290
2019-01-02 06:20,PMS70035,160,274,314
2019-01-02 06:21,PMS70035,164,275,320
2019-01-02 06:22,PMS70035,160,265,299
2019-01-02 06:23,PMS70035,161,262,295
2019-01-02 06:24,PMS70035,166,274,312
2019-01-02 06:25,PMS70035,167,275,315
2019-01-02 06:26,PMS70035,161,269,291
2019-01-02 06:27,PMS70035,158,264,300
2019-01-02 06:28,PMS70035,165,275,307
2019-01-02 06:29,PMS70035,160,273,292
2019-01-02 06:30,PMS70035,164,274,302
2019-01-02 06:31,PMS70035,164,265,295
2019-01-02 06:32,PMS70035,160,270,299
2019-01-02 06:33,PMS70035,171,279,311
2019-01-02 06:34,PMS70035,159,270,297
2019-01-02 06:35,PMS70035,162,267,299
2019-01-02 06:36,PMS70035,159,256,280
2019-01-02 06:37,PMS70035,160,262,287
2019-01-02 06:38,PMS70035,158,264,297
2019-01-02 06:39,PMS70035,157,269,295
2019-01-02 06:40,PMS70035,157,258,285
2019-01-02 06:41,PMS70035,158,266,294
2019-01-02 06:42,PMS70035,165,264,290
2019-01-02 06:43,PMS70035,164,271,301
2019-01-02 06:44,PMS70035,161,267,312
2019-01-02 06:45,PMS70035,163,259,294
2019-01-02 06:46,PMS70035,160,274,297
2019-01-02 06:47,PMS70035,168,272,304
2019-01-02 06:48,PMS70035,164,274,302
2019-01-02 06:49,PMS70035,168,281,313
2019-01-02 06:50,PMS70035,166,280,320
2019-01-02 06:51,PMS70035,159,267,299
2019-01-02 06:52,PMS70035,167,281,310
2019-01-02 06:53,PMS70035,172,289,334
2019-01-02 06:54,PMS70035,173,286,314
2019-01-02 06:55,PMS70035,160,267,294
2019-01-02 06:56,PMS70035,165,271,308
2019-01-02 06:57,PMS70035,164,275,313
2019-01-02 06:58,PMS70035,168,286,309
2019-01-02 06:59,PMS70035,170,278,319
2019-01-02 07:00,PMS70035,171,279,321
2019-01-02 07:01,PMS70035,168,281,316
2019-01-02 07:02,PMS70035,172,290,328
2019-01-02 07:03,PMS70035,162,265,289
2019-01-02 07:04,PMS70035,161,263,298
2019-01-02 07:05,PMS70035,165,278,313
2019-01-02 07:06,PMS70035,161,267,305
2019-01-02 07:07,PMS70035,163,270,301
2019-01-02 07:08,PMS70035,162,274,302
2019-01-02 07:09,PMS70035,164,268,291
2019-01-02 07:10,PMS70035,169,276,301
2019-01-02 07:11,PMS70035,159,257,281
2019-01-02 07:12,PMS70035,163,272,297
2019-01-02 07:13,PMS70035,159,267,295
2019-01-02 07:14,PMS70035,163,271,301
2019-01-02 07:15,PMS70035,163,271,307
2019-01-02 07:16,PMS70035,164,261,299
2019-01-02 07:17,PMS70035,170,287,316
2019-01-02 07:18,PMS70035,167,274,304
2019-01-02 07:19,PMS70035,170,283,316
2019-01-02 07:20,PMS70035,169,265,290
2019-01-02 07:21,PMS70035,168,285,310
2019-01-02 07:22,PMS70035,175,297,331
2019-01-02 07:23,PMS70035,170,274,306
2019-01-02 07:24,PMS70035,177,288,316
2019-01-02 07:25,PMS70035,179,309,345
2019-01-02 07:26,PMS70035,177,297,333
2019-01-02 07:27,PMS70035,183,299,324
2019-01-02 07:28,PMS70035,179,299,333
2019-01-02 07:29,PMS70035,177,292,330
2019-01-02 07:30,PMS70035,181,303,343
2019-01-02 07:31,PMS70035,177,297,331
2019-01-02 07:32,PMS70035,184,309,354
2019-01-02 07:33,PMS70035,179,297,335
2019-01-02 07:34,PMS70035,175,301,339
2019-01-02 07:35,PMS70035,167,282,314
2019-01-02 07:36,PMS70035,172,281,316
2019-01-02 07:37,PMS70035,178,296,326
2019-01-02 07:38,PMS70035,182,297,326
2019-01-02 07:39,PMS70035,189,315,354
2019-01-02 07:40,PMS70035,184,303,333
2019-01-02 07:41,PMS70035,179,312,350
2019-01-02 07:42,PMS70035,192,312,353
2019-01-02 07:43,PMS70035,190,315,340
2019-01-02 07:44,PMS70035,187,313,341
